project_name,continent,country,country_code,ecosystem,activity,activity_type,price_type,project_size_ha,project_size_filter,abatement_potential,total_cost_npv,total_cost,capex_npv,capex,opex_npv,opex,cost_per_tco2e,cost_per_tco2e_npv,feasibility_analysis_npv,feasibility_analysis,conservation_planning_npv,conservation_planning,data_collection_npv,data_collection,community_representation_npv,community_representation,blue_carbon_project_planning_npv,blue_carbon_project_planning,establishing_carbon_rights_npv,establishing_carbon_rights,validation_npv,validation,implementation_labor_npv,implementation_labor,monitoring_npv,maintenance_npv,monitoring,maintenance,monitoring_maintenance_npv,monitoring_maintenance,community_benefit_npv,community_benefit,carbon_standard_fees_npv,carbon_standard_fees,baseline_reassessment_npv,baseline_reassessment,mrv_npv,mrv,long_term_project_operating_npv,long_term_project_operating,initial_price_assumption,leftover_after_opex,leftover_after_opex_NPV,total_revenue,total_revenu_npv,credits_issued
United States Mangrove Restoration Planting Small,North America,United States,USA,Mangrove,Restoration,Planting,Opex breakeven,100,Small,166589,5648912,7720040,2732701,2990267,2916212,4729773,256,256,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,1256774,1413700,600463,290522,994000,353284,890985,1347284,145811,246078,2665,4412,75812,120000,223062,400000,1577877,2612000,190.1037395,191780,0,4921553,2916212,22061
United States Mangrove Restoration Hydrology Small,North America,United States,USA,Mangrove,Restoration,Hydrology,Opex breakeven,100,Small,166589,16268065,19903975,11273022,12596967,4995044,7307008,590,590,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9797095,11020400,600463,2264746,994000,2753998,2865209,3747998,249752,421495,3332,5515,75812,120000,223062,400000,1577877,2612000,260.4959045,1122892,0,8429900,4995044,27576
United States Mangrove Restoration Hybrid Small,North America,United States,USA,Mangrove,Restoration,Hybrid,Opex breakeven,100,Small,166589,15425150,18936881,10595073,11834367,4830077,7102514,559,559,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9119147,10257800,600463,2108028,994000,2563424,2708491,3557424,241504,407575,3332,5515,75812,120000,223062,400000,1577877,2612000,251.8927637,1048980,0,8151494,4830077,27576
United States Mangrove Restoration Planting Small,North America,United States,USA,Mangrove,Restoration,Planting,Market price,100,Small,166589,5526112,7512796,2732701,2990267,2793411,4522529,250,250,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,1256774,1413700,600463,290522,994000,353284,890985,1347284,23010,38833,2665,4412,75812,120000,223062,400000,1577877,2612000,30,-3745866,-2333208,776663,460203,22061
United States Mangrove Restoration Hydrology Small,North America,United States,USA,Mangrove,Restoration,Hydrology,Market price,100,Small,166589,16047076,19531021,11273022,12596967,4774054,6934055,582,582,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9797095,11020400,600463,2264746,994000,2753998,2865209,3747998,28763,48541,3332,5515,75812,120000,223062,400000,1577877,2612000,30,-5963226,-4198800,970829,575254,27576
United States Mangrove Restoration Hybrid Small,North America,United States,USA,Mangrove,Restoration,Hybrid,Market price,100,Small,166589,15212409,18577848,10595073,11834367,4617336,6743481,552,552,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9119147,10257800,600463,2108028,994000,2563424,2708491,3557424,28763,48541,3332,5515,75812,120000,223062,400000,1577877,2612000,30,-5772652,-4042082,970829,575254,27576
United States Mangrove Restoration Planting Medium,North America,United States,USA,Mangrove,Restoration,Planting,Opex breakeven,500,Medium,166589,11759738,14910152,7638954,8645067,4120784,6265085,109,109,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,6163027,7068500,600463,1424677,994000,1766418,2025140,2760418,206039,351158,12855,21509,75812,120000,223062,400000,1577877,2612000,55.45547656,758070,0,7023155,4120784,107546
United States Mangrove Restoration Hydrology Medium,North America,United States,USA,Mangrove,Restoration,Hydrology,Opex breakeven,500,Medium,166589,63834376,75821313,49519375,56678567,14315000,19142747,475,475,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,48043449,55102000,600463,11105968,994000,13769990,11706431,14763990,715750,1219870,16069,26886,75812,120000,223062,400000,1577877,2612000,154.1153484,5254661,0,24397408,14315000,134432
United States Mangrove Restoration Hybrid Medium,North America,United States,USA,Mangrove,Restoration,Hybrid,Opex breakeven,500,Medium,166589,59700850,70986507,46194820,52865567,13506030,18120941,444,444,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,44718893,51289000,600463,10337447,994000,12817121,10937910,13811121,675302,1150933,16069,26886,75812,120000,223062,400000,1577877,2612000,145.4059775,4897720,0,23018661,13506030,134432
United States Mangrove Restoration Planting Medium,North America,United States,USA,Mangrove,Restoration,Planting,Market price,500,Medium,166589,11665161,14748961,7638954,8645067,4026207,6103895,108,108,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,6163027,7068500,600463,1424677,994000,1766418,2025140,2760418,111462,189967,12855,21509,75812,120000,223062,400000,1577877,2612000,30,-2304547,-1796968,3799348,2229239,107546
United States Mangrove Restoration Hydrology Medium,North America,United States,USA,Mangrove,Restoration,Hydrology,Market price,500,Medium,166589,63257953,74838902,49519375,56678567,13738578,18160335,471,471,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,48043449,55102000,600463,11105968,994000,13769990,11706431,14763990,139327,237459,16069,26886,75812,120000,223062,400000,1577877,2612000,30,-13411150,-10952029,4749185,2786549,134432
United States Mangrove Restoration Hybrid Medium,North America,United States,USA,Mangrove,Restoration,Hybrid,Market price,500,Medium,166589,59164876,70073033,46194820,52865567,12970056,17207467,440,440,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,44718893,51289000,600463,10337447,994000,12817121,10937910,13811121,139327,237459,16069,26886,75812,120000,223062,400000,1577877,2612000,30,-12458282,-10183507,4749185,2786549,134432
United States Mangrove Restoration Planting Large,North America,United States,USA,Mangrove,Restoration,Planting,Opex breakeven,1000,Large,166589,18932907,23972546,13413981,15793567,5518926,8178979,93,93,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,11861092,14137000,600463,2741870,994000,3532836,3342333,4526836,275946,479330,23896,40812,75812,120000,223062,400000,1577877,2612000,39.62627435,1407627,0,9586606,5518926,204061
